,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
184,Punjab,03,11,Firozpur,Firozpur,Punjab,3,9,43,Punjab,Firozpur,3_11,District - Firozpur 11,1746107.0,Firozpur,3_9,Firozpur,3_43,2029074,1.0
185,Karnataka,29,08,Gadag,Gadag,Karnataka,29,7,561,Karnataka,Gadag,29_8,District - Gadag * 08,971835.0,Gadag,29_7,Gadag,29_561,1064570,1.0
186,Orissa,21,20,Gajapati,Gajapati,Odisha,21,20,389,Orissa,Gajapati,21_20,District - Gajapati * 20,518837.0,Gajapati,21_20,Gajapati,21_389,577817,1.0
187,Jammu and Kashmir,01,03,Srinagar,Ganderbal,Jammu & Kashmir,1,11,11,Jammu and Kashmir,Srinagar,1_3,District - Srinagar 03,601223.5,Ganderbal,1_11,Ganderbal,1_11,297446,0.5
188,Gujarat,24,06,Gandhinagar,Gandhinagar,Gujarat,24,6,473,Gujarat,Gandhinagar,24_6,District - Gandhinagar 06,1334455.0,Gandhinagar,24_6,Gandhinagar,24_473,1391753,1.0
189,Rajasthan,08,01,Ganganagar,Ganganagar,Rajasthan,8,1,99,Rajasthan,Ganganagar,8_1,District - Ganganagar 01,1789423.0,Ganganagar,8_1,Ganganagar,8_99,1969168,1.0
190,Orissa,21,19,Ganjam,Ganjam,Odisha,21,19,388,Orissa,Ganjam,21_19,District - Ganjam 19,3160635.0,Ganjam,21_19,Ganjam,21_388,3529031,1.0
191,Maharashtra,27,12,Gadchiroli,Garhchiroli,Maharashtra,27,12,508,Maharashtra,Gadchiroli,27_12,District - Gadchiroli 12,970294.0,Garhchiroli,27_12,Garhchiroli,27_508,1072942,1.0
192,Jharkhand,20,01,Garhwa,Garhwa,Jharkhand,20,1,346,Jharkhand,Garhwa,20_1,District - Garhwa * 01,1035464.0,Garhwa,20_1,Garhwa,20_346,1322784,1.0
193,Uttarakhand,05,06,Garhwal,Garhwal,Uttarakhand,5,6,61,Uttarakhand,Garhwal,5_6,District - Garhwal 06,697078.0,Garhwal,5_6,Garhwal,5_61,687271,1.0
194,Uttar Pradesh,09,10,Gautam Buddha Nagar,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,Uttar Pradesh,Gautam Buddha Nagar,9_10,District - Gautam Buddha Nagar * 10,1202030.0,Gautam Buddha Nagar,9_10,Gautam Buddha Nagar,9_141,1648115,1.0
195,Bihar,10,35,Gaya,Gaya,Bihar,10,34,236,Bihar,Gaya,10_35,District - Gaya 35,3473428.0,Gaya,10_34,Gaya,10_236,4391418,1.0
196,Uttar Pradesh,09,09,Ghaziabad,Ghaziabad,Uttar Pradesh,9,9,140,Uttar Pradesh,Ghaziabad,9_9,District - Ghaziabad 09,3290586.0,Ghaziabad,9_9,Ghaziabad,9_140,4681645,1.0
197,Uttar Pradesh,09,65,Ghazipur,Ghazipur,Uttar Pradesh,9,64,195,Uttar Pradesh,Ghazipur,9_65,District - Ghazipur 65,3037582.0,Ghazipur,9_64,Ghazipur,9_195,3620268,1.0
198,Jharkhand,20,06,Giridih,Giridih,Jharkhand,20,4,349,Jharkhand,Giridih,20_6,District - Giridih 06,1904430.0,Giridih,20_4,Giridih,20_349,2445474,1.0
199,Assam,18,03,Goalpara,Goalpara,Assam,18,3,302,Assam,Goalpara,18_3,District - Goalpara 03,822035.0,Goalpara,18_3,Goalpara,18_302,1008183,1.0
200,Jharkhand,20,08,Godda,Godda,Jharkhand,20,6,351,Jharkhand,Godda,20_8,District - Godda 08,1047939.0,Godda,20_6,Godda,20_351,1313551,1.0
201,Assam,18,18,Golaghat,Golaghat,Assam,18,14,313,Assam,Golaghat,18_18,District - Golaghat 18,946279.0,Golaghat,18_14,Golaghat,18_313,1066888,1.0
202,Uttar Pradesh,09,53,Gonda,Gonda,Uttar Pradesh,9,52,183,Uttar Pradesh,Gonda,9_53,District - Gonda 53,2765586.0,Gonda,9_52,Gonda,9_183,3433919,1.0
203,Maharashtra,27,11,Gondiya,Gondiya,Maharashtra,27,11,507,Maharashtra,Gondiya,27_11,District - Gondiya * 11,1200707.0,Gondiya,27_11,Gondiya,27_507,1322507,1.0
204,Bihar,10,15,Gopalganj,Gopalganj,Bihar,10,15,217,Bihar,Gopalganj,10_15,District - Gopalganj 15,2152638.0,Gopalganj,10_15,Gopalganj,10_217,2562012,1.0
205,Uttar Pradesh,09,58,Gorakhpur,Gorakhpur,Uttar Pradesh,9,57,188,Uttar Pradesh,Gorakhpur,9_58,District - Gorakhpur 58,3769456.0,Gorakhpur,9_57,Gorakhpur,9_188,4440895,1.0
206,Karnataka,29,04,Gulbarga,Gulbarga,Karnataka,29,25,579,Karnataka,Gulbarga,29_4,District - Gulbarga 04,1565461.0,Gulbarga,29_25,Gulbarga,29_579,2566326,0.5
207,Jharkhand,20,16,Gumla,Gumla,Jharkhand,20,21,366,Jharkhand,Gumla,20_16,District - Gumla 16,673383.5,Gumla,20_21,Gumla,20_366,1025213,0.5
208,Madhya Pradesh,23,07,Guna,Guna,Madhya Pradesh,23,41,458,Madhya Pradesh,Guna,23_7,District - Guna 07,833383.5,Guna,23_41,Guna,23_458,1241519,0.5
209,Andhra Pradesh,28,17,Guntur,Guntur,Andhra Pradesh,28,17,548,Andhra Pradesh,Guntur,28_17,District - Guntur 17,4465144.0,Guntur,28_17,Guntur,28_548,4887813,1.0
210,Punjab,03,01,Gurdaspur,Gurdaspur,Punjab,3,1,35,Punjab,Gurdaspur,3_1,District - Gurdaspur 01,2104011.0,Gurdaspur,3_1,Gurdaspur,3_35,2298323,1.0
211,Haryana,06,18,Gurgaon,Gurgaon,Haryana,6,18,86,Haryana,Gurgaon,6_18,District - Gurgaon 18,830144.5,Gurgaon,6_18,Gurgaon,6_86,1514432,0.5
212,Madhya Pradesh,23,04,Gwalior,Gwalior,Madhya Pradesh,23,4,421,Madhya Pradesh,Gwalior,23_4,District - Gwalior 04,1632109.0,Gwalior,23_4,Gwalior,23_421,2032036,1.0
213,Assam,18,23,Hailakandi,Hailakandi,Assam,18,19,318,Assam,Hailakandi,18_23,District - Hailakandi 23,542872.0,Hailakandi,18_19,Hailakandi,18_318,659296,1.0
214,Himachal Pradesh,02,06,Hamirpur,Hamirpur,Himachal Pradesh,2,6,28,Himachal Pradesh,Hamirpur,2_6,District - Hamirpur 06,412700.0,Hamirpur,2_6,Hamirpur,2_28,454768,1.0
215,Uttar Pradesh,09,38,Hamirpur,Hamirpur,Uttar Pradesh,9,37,168,Uttar Pradesh,Hamirpur,9_38,District - Hamirpur 38,1043724.0,Hamirpur,9_37,Hamirpur,2_28,454768,1.0
216,Rajasthan,08,02,Hanumangarh,Hanumangarh,Rajasthan,8,2,100,Rajasthan,Hanumangarh,8_2,District - Hanumangarh * 02,1518005.0,Hanumangarh,8_2,Hanumangarh,8_100,1774692,1.0
217,West Bengal,19,16,Haora,Haora,West Bengal,19,15,341,West Bengal,Haora,19_16,District - Haora 16,4273099.0,Haora,19_15,Haora,19_341,4850029,1.0
218,Madhya Pradesh,23,36,Harda,Harda,Madhya Pradesh,23,31,448,Madhya Pradesh,Harda,23_36,District - Harda * 36,474416.0,Harda,23_31,Harda,23_448,570465,1.0
219,Uttar Pradesh,09,25,Hardoi,Hardoi,Uttar Pradesh,9,24,155,Uttar Pradesh,Hardoi,9_25,District - Hardoi 25,3398306.0,Hardoi,9_24,Hardoi,9_155,4092845,1.0
220,Uttarakhand,05,13,Hardwar,Hardwar,Uttarakhand,5,13,68,Uttarakhand,Hardwar,5_13,District - Hardwar 13,1447187.0,Hardwar,5_13,Hardwar,5_68,1890422,1.0
221,Karnataka,29,23,Hassan,Hassan,Karnataka,29,20,574,Karnataka,Hassan,29_23,District - Hassan 23,1721669.0,Hassan,29_20,Hassan,29_574,1776421,1.0
222,Uttar Pradesh,09,13,Hathras,Mahamaya Nagar,Uttar Pradesh,9,13,144,Uttar Pradesh,Hathras,9_13,District - Hathras * 13,1336031.0,Mahamaya Nagar,9_13,Mahamaya Nagar,9_144,1564708,1.0
223,Karnataka,29,11,Haveri,Haveri,Karnataka,29,10,564,Karnataka,Haveri,29_11,District - Haveri * 11,1439116.0,Haveri,29_10,Haveri,29_564,1597668,1.0
224,Jharkhand,20,04,Hazaribagh,Hazaribagh,Jharkhand,20,15,360,Jharkhand,Hazaribagh,20_4,District - Hazaribag 04,1138737.5,Hazaribagh,20_15,Hazaribagh,20_360,1734495,0.5
225,Maharashtra,27,16,Hingoli,Hingoli,Maharashtra,27,16,512,Maharashtra,Hingoli,27_16,District - Hingoli * 16,987160.0,Hingoli,27_16,Hingoli,27_512,1177345,1.0
226,Haryana,06,12,Hisar,Hisar,Haryana,6,12,80,Haryana,Hisar,6_12,District - Hisar 12,1537117.0,Hisar,6_12,Hisar,6_80,1743931,1.0
227,Madhya Pradesh,23,37,Hoshangabad,Hoshangabad,Madhya Pradesh,23,32,449,Madhya Pradesh,Hoshangabad,23_37,District - Hoshangabad 37,1084265.0,Hoshangabad,23_32,Hoshangabad,23_449,1241350,1.0
228,Punjab,03,05,Hoshiarpur,Hoshiarpur,Punjab,3,4,38,Punjab,Hoshiarpur,3_5,District - Hoshiarpur 05,1480736.0,Hoshiarpur,3_4,Hoshiarpur,3_38,1586625,1.0
229,West Bengal,19,12,Hugli,Hugli,West Bengal,19,12,338,West Bengal,Hugli,19_12,District - Hugli 12,5041976.0,Hugli,19_12,Hugli,19_338,5519145,1.0
230,Andhra Pradesh,28,05,Hyderabad,Hyderabad,Andhra Pradesh,28,5,536,Andhra Pradesh,Hyderabad,28_5,District - Hyderabad 05,3829753.0,Hyderabad,28_5,Hyderabad,28_536,3943323,1.0
231,Kerala,32,09,Idukki,Idukki,Kerala,32,9,596,Kerala,Idukki,32_9,District - Idukki 09,1129221.0,Idukki,32_9,Idukki,32_596,1108974,1.0
232,Manipur,14,07,Imphal East,Imphal East,Manipur,14,7,278,Manipur,Imphal East,14_7,District - Imphal East * 07,394876.0,Imphal East,14_7,Imphal East,14_278,456113,1.0
233,Manipur,14,06,Imphal West,Imphal West,Manipur,14,6,277,Manipur,Imphal West,14_6,District - Imphal West 06,444382.0,Imphal West,14_6,Imphal West,14_277,517992,1.0
